IEBC,Geo
Mackinnon Road,Mackinon Road
"Antubetwe 
Kiongo",Antubetwe Kiongo
BASI BOGETAORIO,Bassi Bogetaorio
"BOMBABA
BORABU",Bombaba Borabu
BORABU   CHITAGO,Borabu Chitago
"BUKHAYO NORTH
WALTSI",Bukhayo North Walatsi
"BUKIRA CENTRL
IKEREGE",Bukira Central Ikerege
"BUNYALA
CENTRAL",Bunyala Central
"NORTH EAST
BUNYORE",North East Bunyore
"CENTRAL
BUNYORE",Central Bunyore
"NORTH
KAMAGAMBO",East Kamagambo
"SOUTH
KAMAGAMBO",South Kamagambo
"CENTRAL
KAMAGAMBO",Central Kamagambo
"CENTRAL
MARAGOLI",Central Maragoli
"CENTRAL
NYAKACH",Central Nyakach
"CHEMELIL
CHEMASE",Chemelil Chemase
"CHEMUNDU
KAPNG'ETUNY",Chemundu Kapng'Etunyi
"CHENGONI
SAMBURU",Chengoni Samburu
"CHEPSIRO
KIPTOROR",Chepsiro Kiptoror
"CHEPTIRET
KIPCHAMO",Cheptiret Kipchamo
"CHEPTORORIET
SERETUT",Cheptororiet Seretut
"CHERANGANY
SUWERWA",Cherangany Suwerwa
DANDORA AREA II,Dandora Area Ii
DANDORA AREA III,Dandora Area Iii
DEDAN KIMANTHI,Dedan Kimathi
"EAST KANO
WAWIDHI",East Kano Wawidhi
"WEST
KANYAMKAGO",West Kanyamkago
"EAST
KANYAMKAGO",East Kanyamkago
"SOUTH
KANYAMKAGO",South Kanyamkago
"CENTRAL
KANYAMKAGO",Central Kanyamkago
"NORTH
KANYAMKAGO",North Kanyamkago
"EMBOBUT
EMBULOT",Embobut Embulot
ENTONET LENKISIM,Entonet Lenkism
"EWALEL
CHAPCHAP",Ewalel Chapchap
SHIMANZI GANJONI,Ganjoni -Shimanzi
"GANYURE
WAGALLA",Ganyure Wagalla
"GATITU
MURUGURU",Gatitu Muruguru
"GOKEHARAKA
GETAMBWEGA",Gokeharaka Getambwega
"GOMBATO
BONGWE",Gombato Bongwe
"HADADO
ATHIBOHOL",Hadado Athibohol
"HOMA BAY
CENTRAL",Homa Bay Central
"CHUKA
IGAMBANG'OMBE",Igambang`Ombe
"MBIRIKANI
ESELENKEI",Imbrikani Eselelnkei
INGOSTSE-MATHIA,Ingoste-Matiha
"IVINGONI
NZAMBANI",Ivingoni Nzambani
KAGAARI SOUTH,Kaagari North
KAGAARI NORTH,Kaagari South
"KABONYO
KANYAGWAL",Kabonyo Kanyagwal
KABUOCH NORTH,Kabouch North
"KABUCHAI
CHWELE",Kabuchai Chwele
"KABUOCH SOUTH
PALA",Kabuoch South Pala
KALAWA,Kalawa  Kathulumbi
"KAMAKWA
MUKARO",Kamakwa Mukaro
"KANGUNDO
CENTRAL",Kangundo Central
"KANYAMWA
KOLOGI",Kanyamwa Kologi
"KANYAMWA
KOSEWE",Kanyamwa Kosewe
"KAPTEL
KAMOIYWO",Kaptel Kamoiywo
KAPTUMO-KABOI,Kaptumo Kaboi
"KARGI SOUTH
HORR",Kargi South Horr
"KARIOBANGI
NORTH",Kariobangi North
"KARIOBANGI
SOUTH",Kariobangi South
"KATHIANI
CENTRAL",Kathiani Central
TOWNSHIP,Kiambu Township
"KIEGOI
ANTUBOCHIU",Kiegoi Antubochiu
IGEMBE EAST,Kiengu Igembe East
"KIIMA KIU
KALANZONI",Kiima Kiu Kalanzoni
"KIKUMBULYU
NORTH",Kikumbulyu North
"KIKUMBULYU
SOUTH",Kikumbulyu South
"KITHUNGO
KITUNDU",Kithungo Kitundu
